"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02818V03389","Agricultural Product","UNIT","VALUE"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","02","Agricultural input price index","Base 2015=100","105.0408945"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","021","Seeds","Base 2015=100","106.7744247"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","022","Energy","Base 2015=100","106.5339505"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0221","Electricity","Base 2015=100","105.5053369"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0222","Motor fuel","Base 2015=100","106.8987351"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0223","Lubricants","Base 2015=100","105.7746965"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","023","Fertilisers","Base 2015=100","90.85323059"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0231","Straight fertilisers","Base 2015=100","88.63353758"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0232","Compound fertilisers","Base 2015=100","91.24420224"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","02321","PK fertilisers","Base 2015=100","93.75917493"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","02322","NPK fertilisers","Base 2015=100","91.18148617"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0233","Other fertilisers","Base 2015=100","105.2380952"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","024","Plant protection products","Base 2015=100","103.8317021"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","025","Veterinary expenses","Base 2015=100","107.5086545"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","026","Feeding stuffs","Base 2015=100","110.3518367"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0261","Straight feeding stuffs","Base 2015=100","115.3183264"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0262","Compound feeding stuffs","Base 2015=100","110.0977602"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","02621","Compound feeding stuffs for calves","Base 2015=100","110.0472681"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","02622","Compound feeding stuffs for cattle excluding calves","Base 2015=100","108.4895427"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","02623","Compound feeding stuffs for pigs","Base 2015=100","117.3223123"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","02624","Compound feeding stuffs for poultry","Base 2015=100","107.5166789"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","02625","Other compound feeding stuffs","Base 2015=100","108.4806872"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","030","Maintenance of materials and buildings","Base 2015=100","104.0941"
